사업소| 호기 | 일자| 용량(MW)| 발전량(MWh)| 열효율(%)| 이용율(%)| 발전원
경상대태양광| 1| 202412| 0.91| 78.62| 0| 11.61| 태양력
고흥만 수상태양광| 1| 202412| 63.48| 6026.18| 0| 12.76| 태양력
광양항세방태양광| 1| 202412| 3.1| 204.02| 0| 8.85| 태양력
구미태양광| 1| 202412| 0.99| 94.24| 0| 12.79| 태양력
군위 화산풍력| 1| 202412| 11.55| 3323.39| 0| 38.67| 
두산태양광| 1| 202412| 0.08| 6.25| 0| 10.5| 태양력
분당| CG1| 202412| 77.76| 52698| 30.85| 91.09| 복합
분당| CG2| 202412| 77.76| 26642| 30.5| 46.05| 복합
분당| CG3| 202412| 77.76| 63329| 31.96| 109.46| 복합
분당| CG4| 202412| 77.76| 2407| 31.1| 4.16| 복합
분당| CG5| 202412| 77.76| 38057| 21.41| 65.78| 복합
분당| CG6| 202412| 77.76| 59097| 32.01| 102.15| 복합
분당| CG7| 202412| 77.76| 34106| 32.29| 58.95| 복합
분당| CG8| 202412| 77.76| 63153| 31.96| 109.16| 복합
분당| CS1| 202412| 185| 51114| 0| 37.14| 복합
분당| CS2| 202412| 115| 43965| 0| 51.38| 복합
분당연료전지| 2| 202412| 3.08| 745.69| 30.84| 32.54| 기타
분당연료전지| 3| 202412| 5.72| 3143.08| 32.5| 73.86| 기타
분당연료전지| 4| 202412| 16.72| 9373.34| 32.06| 75.35| 기타
분당연료전지| 5| 202412| 5.72| 3437.85| 33.02| 80.78| 기타
분당연료전지| 6-1| 202412| 5.1| 3584.95| 47.58| 94.48| 기타
분당연료전지| 6-2| 202412| 3.25| 2336.45| 46.96| 96.63| 기타
삼천포| 3| 202412| 560| 328249| 35.22| 78.78| 석탄
삼천포| 4| 202412| 560| 119411| 36.3| 28.66| 석탄
삼천포| 5| 202412| 500| 220525| 36.37| 59.28| 석탄
삼천포| 6| 202412| 500| 281868| 35.96| 75.77| 석탄
삼천포태양광| 1| 202412| 0.1| 6.99| 0| 9.4| 태양력
삼천포태양광| 2| 202412| 0.99| 102.31| 0| 13.89| 태양력
삼천포태양광| 3| 202412| 0.35| 28.85| 0| 11.08| 태양력
삼천포태양광| 4| 202412| 1.85| 177.34| 0| 12.88| 태양력
삼천포태양광#5| 1| 202412| 3.94| 431.26| 0| 14.71| 태양력
삼천포태양광#5| 2| 202412| 6.65| 706.52| 0| 14.28| 태양력
삼천포태양광#6| 1| 202412| 0.98| 77.24| 0| 10.59| 태양력
삼천포풍력| 1| 202412| 0.75| 0.01| 0| 0| 풍력
삼천포해양소수력| 1| 202412| 5| 1186.04| 0| 31.88| 소수력
안산연료전지| 1| 202412| 2.64| 1292.85| 29.81| 65.82| 기타
어음풍력| 1| 202412| 21| 5294.33| 0| 33.89| 풍력
여수| 1| 202412| 340| 127676| 26.39| 50.47| 석탄
여수| 2| 202412| 328.6| 105935| 31.45| 43.33| 석탄
여수연료전지| 1| 202412| 9.68| 6244.56| 42.95| 86.71| 기타
여수태양광| 1| 202412| 0.17| 16.48| 0| 13.03| 태양력
영동| 1| 202412| 125| 78561| 0| 84.47| 바이오매스
영동| 2| 202412| 200| 54355| 0| 36.53| 바이오매스
영동태양광| 1| 202412| 1.07| 99.55| 0| 12.51| 태양력
영흥| 1| 202412| 800| 0| 0| 0| 석탄
영흥| 2| 202412| 800| 0| 0| 0| 석탄
영흥| 3| 202412| 870| 0| 0| 0| 석탄
영흥| 4| 202412| 870| 593410.13| 38.61| 91.68| 석탄
영흥| 5| 202412| 870| 590687| 40.86| 91.26| 석탄
영흥| 6| 202412| 870| 566602| 40.68| 87.54| 석탄
영흥태양광| 1| 202412| 1| 22.26| 0| 2.99| 태양력
영흥태양광| 2| 202412| 0.99| 67.11| 0| 9.11| 태양력
영흥태양광 #3| 1| 202412| 3.33| 208.63| 0| 8.42| 태양력
영흥태양광 #3| 2| 202412| 1.28| 104.69| 0| 10.99| 태양력
영흥태양광 #3| 3| 202412| 1.54| 112.52| 0| 9.82| 태양력
영흥태양광#5| 1| 202412| 3.5| 332.74| 0| 12.78| 태양력
영흥풍력| 1| 202412| 22| 526.35| 0| 3.22| 풍력
영흥풍력| 2| 202412| 24| 1939.83| 0| 10.86| 풍력
영흥해양소수력| 1| 202412| 3| 620.75| 0| 27.81| 소수력
영흥해양소수력| 2| 202412| 4.6| 18.7| 0| .55| 소수력
영흥해양소수력| 3| 202412| 5| 1020.6| 0| 27.44| 소수력
예천태양광| 1| 202412| 2| 224.02| 0| 15.06| 태양력
탑선태양광| 1| 202412| 0.61| 16.48| 0| 3.63| 태양력
탑선태양광| 3| 202412| 0.4| 12.25| 0| 4.12| 태양력
경상대태양광| 1| 202411| 0.91| 70.73| 0| 10.8| 태양력
